experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:27:43.359340+00:00,39.137755057017785,77,server,ubuntu,500,psutil,12915236187,26839597998,314,160,1.3,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:43.860133+00:00,39.63854823401198,78,server,ubuntu,500,psutil,12915236821,26839597998,634,0,1.7,11550.5625,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:44.360781+00:00,40.13919685501605,79,server,ubuntu,500,psutil,12915236915,26839598064,94,66,1.3,11550.80859375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:44.861532+00:00,40.63994698799797,80,server,ubuntu,500,psutil,12915236915,26839598064,0,0,1.5,11550.80859375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:45.361937+00:00,41.140351440990344,81,server,ubuntu,500,psutil,12915237009,26839598130,94,66,1.8,11550.8046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:45.862637+00:00,41.64105245700921,82,server,ubuntu,500,psutil,12915237009,26839598130,0,0,1.8,11550.8046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:46.363114+00:00,42.141529022017494,83,server,ubuntu,500,psutil,12915240556,26839602979,3547,4849,2.2,11550.8046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:46.863537+00:00,42.64195267600007,84,server,ubuntu,500,psutil,12915240556,26839602979,0,0,1.5,11551.046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:47.363951+00:00,43.142366709013004,85,server,ubuntu,500,psutil,12915240744,26839603150,188,171,1.8,11550.51953125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:47.864371+00:00,43.64278646701132,86,server,ubuntu,500,psutil,12915240744,26839603150,0,0,1.7,11550.51953125,36.2,,,,,,,,,
